Output data:
OUT[1][14][1] = 73082176.000000
OUT[1][14][2] = 109408096.000000
OUT[1][14][3] = 109428936.000000
OUT[1][14][4] = 109449760.000000
OUT[1][14][5] = 109470584.000000
OUT[1][14][6] = 109491432.000000
OUT[1][14][7] = 109512240.000000
OUT[1][14][8] = 109533080.000000
OUT[1][14][9] = 109553920.000000
OUT[1][14][10] = 109574752.000000
OUT[1][14][11] = 109595600.000000
OUT[1][14][12] = 109616416.000000
OUT[1][14][13] = 109637232.000000
OUT[1][14][14] = 109658064.000000
OUT[1][14][15] = 109678904.000000
OUT[1][15][0] = 109699736.000000
OUT[1][15][1] = 109720568.000000
OUT[1][15][2] = 109741408.000000
OUT[1][15][3] = 109762248.000000
OUT[1][15][4] = 109783072.000000
OUT[1][15][5] = 109803896.000000
OUT[1][15][6] = 109824744.000000
OUT[1][15][7] = 109845552.000000
OUT[1][15][8] = 109866392.000000
OUT[1][15][9] = 73100032.000000
OUT[1][15][10] = 109208592.000000
OUT[1][15][11] = 163489152.000000
OUT[1][15][12] = 163520176.000000
OUT[1][15][13] = 163551184.000000
OUT[1][15][14] = 163582208.000000
OUT[1][15][15] = 163613280.000000
OUT[1][16][0] = 163644288.000000
OUT[1][16][1] = 163675312.000000
OUT[1][16][2] = 163706352.000000
OUT[1][16][3] = 163737376.000000
OUT[1][16][4] = 163768416.000000
OUT[1][16][5] = 163799424.000000
OUT[1][16][6] = 163830480.000000
OUT[1][16][7] = 163861488.000000
OUT[1][16][8] = 163892544.000000
OUT[1][16][9] = 163923600.000000
OUT[1][16][10] = 163954624.000000
OUT[1][16][11] = 163985664.000000
OUT[1][16][12] = 164016688.000000
OUT[1][16][13] = 164047680.000000
OUT[1][16][14] = 164078720.000000
OUT[1][16][15] = 164109792.000000
OUT[1][17][0] = 164140800.000000
OUT[1][17][1] = 164171824.000000
OUT[1][17][2] = 109230872.000000
OUT[1][17][3] = 109726984.000000
OUT[1][17][4] = 164264928.000000
OUT[1][17][5] = 164295920.000000
OUT[1][17][6] = 164326992.000000
OUT[1][17][7] = 164358032.000000
